election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,3112,טירה,90,part 1 page 124,0,"בי""ס אל זהארה ב3.ג.ה",manual visual transcription of K17 scanned polling-place list
K17,3113,טירה,100,part 1 page 124,0,"בי""ס אל זהארה ב3.ג.ה",manual visual transcription of K17 scanned polling-place list
K17,3114,טירה,110,part 1 page 124,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,3115,טירה,120,part 1 pages 123-124,0,"בי""ס אל עמריה",manual visual transcription of K17 scanned polling-place list
K17,3116,טירה,130,part 1 page 124,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,3117,טירה,140,part 1 page 124,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,3118,טירה,150,part 1 page 124,0,"בי""ס אל נאג'ח",manual visual transcription of K17 scanned polling-place list
K17,3119,טירה,160,part 1 pages 123-124,0,"חט""ב ב'",manual visual transcription of K17 scanned polling-place list
K17,3120,טירה,170,part 1 pages 123-124,0,"ביה""ס יסודי ""אל מג'י",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,3121,טירה,180,part 1 pages 123-124,0,"תיכון ע""ש איבראהים ק",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7860,טמרה,10,part 1 pages 68-69,0,"בי""ס אלבירוני",manual visual transcription of K17 scanned polling-place list
K17,7861,טמרה,20,part 1 pages 68-69,0,"בי""ס אלבירוני",manual visual transcription of K17 scanned polling-place list
K17,7862,טמרה,30,part 1 pages 68-69,0,"בי""ס ממלכתי ד'",manual visual transcription of K17 scanned polling-place list
K17,7863,טמרה,40,part 1 pages 68-69,0,חטיבת ביניים בן חלדון,manual visual transcription of K17 scanned polling-place list
K17,7864,טמרה,50,part 1 pages 68-69,0,"בי""ס ממלכתי ו' (אלגזאלי)",manual visual transcription of K17 scanned polling-place list
K17,7865,טמרה,60,part 1 pages 68-69,0,"בי""ס ממלכתי ו' (אלגזאלי)",manual visual transcription of K17 scanned polling-place list
K17,7866,טמרה,70,part 1 pages 68-69,0,"בי""ס ממלכתי ו' (אלגזאלי)",manual visual transcription of K17 scanned polling-place list
K17,7867,טמרה,80,part 1 pages 68-69,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,7868,טמרה,90,part 1 pages 68-69,0,"בי""ס יסודי ז'",manual visual transcription of K17 scanned polling-place list
K17,7869,טמרה,100,part 1 pages 68-69,0,חטיבת ביניים - אגף ראשי,manual visual transcription of K17 scanned polling-place list
K17,7870,טמרה,110,part 1 pages 68-69,0,"בי""ס ממלכתי ד'",manual visual transcription of K17 scanned polling-place list
K17,7871,טמרה,120,part 1 pages 68-69,0,"בי""ס ממלכתי ה'",manual visual transcription of K17 scanned polling-place list
K17,7872,טמרה,130,part 1 pages 68-69,0,"בי""ס ממלכתי ה'",manual visual transcription of K17 scanned polling-place list
K17,7873,טמרה,140,part 1 pages 68-69,0,בית הקשיש,manual visual transcription of K17 scanned polling-place list
K17,7874,טמרה,150,part 1 pages 68-69,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,7875,טמרה,160,part 1 pages 68-69,0,"בי""ס אל-זהרא ג'",manual visual transcription of K17 scanned polling-place list
K17,7876,טמרה,170,part 1 pages 68-69,0,"בי""ס אל-זהרא ג'",manual visual transcription of K17 scanned polling-place list
K17,7877,טמרה,180,part 1 pages 68-69,0,חטיבת ביניים - אגף ראשי,manual visual transcription of K17 scanned polling-place list
K17,7878,טמרה,190,part 1 pages 68-69,0,בית הנוער אלשמאלי,manual visual transcription of K17 scanned polling-place list
K17,7879,טמרה,200,part 1 pages 68-69,0,בית הנוער אלשמאלי,manual visual transcription of K17 scanned polling-place list
K17,7880,טמרה,210,part 1 pages 68-69,0,"בי""ס ממלכתי ו' (אלגזאלי)",manual visual transcription of K17 scanned polling-place list
K17,7881,טמרה,220,part 1 pages 68-69,0,"בי""ס ממלכתי ד'",manual visual transcription of K17 scanned polling-place list
K17,7882,טמרה,230,part 1 pages 68-69,0,"בי""ס ממלכתי ה'",manual visual transcription of K17 scanned polling-place list
K17,7883,טמרה,240,part 1 pages 68-69,0,"בי""ס אל-זהרא ג'",manual visual transcription of K17 scanned polling-place list
K17,1048,יפיע,10,part 1 page 51,0,בית ספר ממלכתי - חטיבת ביניים,manual visual transcription of K17 scanned polling-place list
K17,1049,יפיע,20,part 1 page 51,0,בית ספר ממלכתי - חטיבת ביניים,manual visual transcription of K17 scanned polling-place list
K17,1050,יפיע,30,part 1 page 51,0,בית ספר ממלכתי ד' - אלחדיקה,manual visual transcription of K17 scanned polling-place list
K17,1051,יפיע,40,part 1 page 51,0,בית ספר ממלכתי ד' - אלחדיקה,manual visual transcription of K17 scanned polling-place list
K17,1052,יפיע,50,part 1 page 51,0,"בי""ס דתי - מנזר הלטיני",manual visual transcription of K17 scanned polling-place list
K17,1053,יפיע,60,part 1 page 51,0,בית ספר ממלכתי ג' - מראח אלגזלאן,manual visual transcription of K17 scanned polling-place list
K17,1054,יפיע,70,part 1 page 51,0,בית ספר ממלכתי ג' - מראח אלגזלאן,manual visual transcription of K17 scanned polling-place list
K17,1055,יפיע,80,part 1 page 51,0,בית ספר ממלכתי ג' - מראח אלגזלאן,manual visual transcription of K17 scanned polling-place list
K17,1056,יפיע,90,part 1 page 51,0,"בי""ס דתי - מנזר הלטיני",manual visual transcription of K17 scanned polling-place list
K17,1057,יפיע,100,part 1 page 51,0,בית ספר תיכון יפיע,manual visual transcription of K17 scanned polling-place list
K17,1058,יפיע,110,part 1 page 51,0,בית ספר תיכון יפיע,manual visual transcription of K17 scanned polling-place list
K17,1059,יפיע,120,part 1 page 51,0,בית ספר ממלכתי ד' - אלחדיקה,manual visual transcription of K17 scanned polling-place list
K17,1060,יפיע,130,part 1 page 51,0,בית ספר תיכון יפיע,manual visual transcription of K17 scanned polling-place list
K17,1061,ירכא,10,part 1 pages 69-70,0,"בי""ס החדשני",manual visual transcription of K17 scanned polling-place list
K17,1062,ירכא,20,part 1 pages 69-70,0,"בי""ס החדשני",manual visual transcription of K17 scanned polling-place list
K17,1063,ירכא,30,part 1 pages 69-70,0,"בי""ס אלנהדא",manual visual transcription of K17 scanned polling-place list
K17,1064,ירכא,40,part 1 pages 69-70,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1065,ירכא,50,part 1 pages 69-70,0,"בי""ס אלנהדא",manual visual transcription of K17 scanned polling-place list
K17,1066,ירכא,60,part 1 pages 69-70,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1067,ירכא,70,part 1 pages 69-70,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1068,ירכא,80,part 1 pages 69-70,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
