geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:11560001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11560001,2011,11560001,loc:1156,1156,סמר,SAMAR,1,official_cbs,official_cbs
stat2011:11570001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11570001,2011,11570001,loc:1157,1157,אחווה,AHAWA,1,official_cbs,official_cbs
stat2011:11580001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11580001,2011,11580001,loc:1158,1158,יהל,YAHEL,1,official_cbs,official_cbs
stat2011:11600001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11600001,2011,11600001,loc:1160,1160,שכניה,SHEKHANYA,1,official_cbs,official_cbs
stat2011:11610001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610001,2011,11610001,loc:1161,1161,רהט,RAHAT,1,official_cbs,official_cbs
stat2011:11610002,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610002,2011,11610002,loc:1161,1161,רהט,RAHAT,2,official_cbs,official_cbs
stat2011:11610003,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610003,2011,11610003,loc:1161,1161,רהט,RAHAT,3,official_cbs,official_cbs
stat2011:11610004,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610004,2011,11610004,loc:1161,1161,רהט,RAHAT,4,official_cbs,official_cbs
stat2011:11610005,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610005,2011,11610005,loc:1161,1161,רהט,RAHAT,5,official_cbs,official_cbs
stat2011:11610006,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610006,2011,11610006,loc:1161,1161,רהט,RAHAT,6,official_cbs,official_cbs
stat2011:11610007,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610007,2011,11610007,loc:1161,1161,רהט,RAHAT,7,official_cbs,official_cbs
stat2011:11610008,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610008,2011,11610008,loc:1161,1161,רהט,RAHAT,8,official_cbs,official_cbs
stat2011:11610009,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610009,2011,11610009,loc:1161,1161,רהט,RAHAT,9,official_cbs,official_cbs
stat2011:11610010,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610010,2011,11610010,loc:1161,1161,רהט,RAHAT,10,official_cbs,official_cbs
stat2011:11610011,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11610011,2011,11610011,loc:1161,1161,רהט,RAHAT,11,official_cbs,official_cbs
stat2011:11620001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11620001,2011,11620001,loc:1162,1162,בית רימון,BET RIMMON,1,official_cbs,official_cbs
stat2011:11630001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11630001,2011,11630001,loc:1163,1163,מורן,MORAN,1,official_cbs,official_cbs
stat2011:11650001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11650001,2011,11650001,loc:1165,1165,שילת,SHILAT,1,official_cbs,official_cbs
stat2011:11660001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11660001,2011,11660001,loc:1166,1166,כפר רות,KEFAR RUT,1,official_cbs,official_cbs
stat2011:11670001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11670001,2011,11670001,loc:1167,1167,קיסריה,QESARYYA,1,official_cbs,official_cbs
