geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_name_he,locality_name_en,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,locality_id,stat_area_id
stat2022:4650001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,465,צובה,ZOVA,1.0,4650001,,,1.0,3930.3590413931297,436700.73841307685,loc:465,stat2022:4650001
stat2022:4660001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,466,בית דגן,BET DAGAN,1.0,4660001,,,1.0,6670.16214879158,1415552.3110539308,loc:466,stat2022:4660001
stat2022:4690001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,469,קריית עקרון,QIRYAT EQRON,1.0,4690001,,,2.0,4838.837206548016,661837.9352501285,loc:469,stat2022:4690001
stat2022:4690002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,469,קריית עקרון,QIRYAT EQRON,2.0,4690002,,,1.0,3039.621897436926,305022.5189803508,loc:469,stat2022:4690002
stat2022:4690003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,469,קריית עקרון,QIRYAT EQRON,3.0,4690003,,,1.0,4365.041230714526,810154.10449678,loc:469,stat2022:4690003
stat2022:4690004,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,469,קריית עקרון,QIRYAT EQRON,4.0,4690004,,,1.0,3654.719872906225,555580.3225560173,loc:469,stat2022:4690004
stat2022:4720001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,472,אבו גוש,ABU GHOSH,1.0,4720001,,,1.0,9911.014882927782,1888609.6444970507,loc:472,stat2022:4720001
stat2022:4730001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,473,אבו סנאן,ABU SINAN,1.0,4730001,,,1.0,10563.807277197668,2691052.7698754226,loc:473,stat2022:4730001
stat2022:4730002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,473,אבו סנאן,ABU SINAN,2.0,4730002,,,1.0,4314.306153828399,418732.25008004927,loc:473,stat2022:4730002
stat2022:4730003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,473,אבו סנאן,ABU SINAN,3.0,4730003,,,1.0,11178.53042941337,3345554.582421091,loc:473,stat2022:4730003
stat2022:4750001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,475,דחי,DAHI,1.0,4750001,,,1.0,4297.555696224031,285436.60944945,loc:475,stat2022:4750001
stat2022:4780001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,478,אכסאל,IKSAL,1.0,4780001,,,1.0,12204.138141739297,5722765.676069685,loc:478,stat2022:4780001
stat2022:4780002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,478,אכסאל,IKSAL,2.0,4780002,,,1.0,3598.377618595493,446989.709390752,loc:478,stat2022:4780002
stat2022:4780003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,478,אכסאל,IKSAL,3.0,4780003,,,1.0,11598.453047995621,3208532.7365519414,loc:478,stat2022:4780003
stat2022:4800001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,480,בית ג'ן,BEIT JANN,1.0,4800001,,,1.0,8949.853246818133,2338983.5575050716,loc:480,stat2022:4800001
stat2022:4800002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,480,בית ג'ן,BEIT JANN,2.0,4800002,,,1.0,8870.199787808522,2518490.825166801,loc:480,stat2022:4800002
stat2022:4800003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,480,בית ג'ן,BEIT JANN,3.0,4800003,,,1.0,8284.039142633736,2341939.4778289977,loc:480,stat2022:4800003
stat2022:4810001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,481,מגאר,MUGHAR,1.0,4810001,,,1.0,10712.745320729764,3725058.940514656,loc:481,stat2022:4810001
